"ait-table-cell","ait-table-cell 2","ait-table-cell 3","ait-local-number","ait-space-item","ait-space-item 2","ait-local-number 2","ait-space-item 3","ait-space-item 4","ait-local-number 3","ait-space-item 5","ait-space-item 6","ait-local-number 4","ait-space-item 7","ait-space-item 8","ait-local-number 5","ait-space-item 9","ait-space-item 10","ait-space-item 11","ait-space-item 12","ait-space-item 15","ait-space-item 16"
"herramientas para bicicleta","Bicycle tools","N","9,546.00","较前30日","3.84%","58,706.00","","","28.37%","较前30日","-1.58%","36.81","较前30日","-2.70%","0.60%","较前30日","-5.60%","较前30日","50.00%","",""
"vector","vector","Y","63.10%","较前30日","25.02%","14.62","","","","较前30日","-0.57%","","","","0.37%","","","较前30日","32.14%","",""
"balaclava","Balaclava","N","20,634.00","较前30日","13.53%","58,492.00","","","23.96%","较前30日","-22.37%","1.51%","较前30日","-6.88%","6.01","较前30日","-12.07%","较前30日","85.03%","",""
"muay thai","Muay thai","N","10,211.00","较前30日","0.65%","58,383.00","较前30日","10.92%","23.13%","较前30日","-6.84%","22.90","","","","较前30日","-5.20%","","","",""
"navaja","Folding knife","N","19,394.00","较前30日","9.61%","58,254.00","较前30日","12.60%","14.75%","较前30日","-3.41%","0.28%","较前30日","21.74%","2.47","较前30日","15.72%","","","",""
"darevie cycling","darevie cycling","N","13,943.00","较前30日","11.57%","58,243.00","较前30日","11.56%","41.46%","较前30日","-3.11%","1.44%","较前30日","17.07%","16.14","较前30日","-5.29%","","","",""
"pickleball paddle","pickleball paddle","N","12,566.00","较前30日","24.32%","58,212.00","较前30日","19.01%","31.39%","较前30日","-0.35%","0.88%","较前30日","22.22%","18.62","较前30日","-17.97%","","","",""
"mountain bike","mountain bike","N","14,396.00","较前30日","27.76%","31.77%","较前30日","3.35%","21.76","","","","较前30日","10.30%","58,192.00","","","较前30日","33.82%","",""
"compass","compass","Y","11,490.00","较前30日","1.29%","58,072.00","较前30日","4.23%","28.79%","较前30日","-3.52%","1.05%","较前30日","0.83%","31.46","较前30日","-23.36%","","","",""
"violin","violin","Y","11,896.00","较前30日","0.56%","57,924.00","较前30日","2.88%","37.50%","较前30日","-3.18%","34.34","较前30日","5.27%","0.19%","","","较前30日","280.00%","",""
"luz trasera bicicleta","Rear light bicycle","N","11,616.00","较前30日","1.73%","57,655.00","较前30日","-4.34%","28.22%","较前30日","-2.85%","1.07%","较前30日","-8.55%","23.57","较前30日","-5.71%","","","",""
"pantalones de mujer","Women's pants","N","18.02%","较前30日","9.95%","0.11%","","","0.89","较前30日","-15.38%","57,597.00","","","29,086.00","较前30日","-23.12%","较前30日","41.54%","",""
"beach","beach","Y","11,329.00","较前30日","21.10%","57,418.00","较前30日","22.92%","17.97%","较前30日","-0.44%","0.11%","较前30日","5.61%","26.35","较前30日","-15.38%","","","",""
"bicicleta accesorios","Bicycle accessories","N","8,590.00","较前30日","13.12%","57,402.00","较前30日","2.59%","22.17%","较前30日","-2.70%","0.36%","较前30日","9.09%","47.85","较前30日","-14.35%","","","",""
"kettlebell","kettlebell","N","16,267.00","较前30日","14.68%","57,383.00","较前30日","13.18%","31.40%","较前30日","-0.84%","0.19%","较前30日","3.09%","16.80","较前30日","5.56%","","","",""
"ajedrez","Chess","N","12,405.00","较前30日","6.56%","57,254.00","较前30日","19.05%","28.60%","较前30日","-2.94%","0.25%","较前30日","9.36%","19.57","较前30日","-1.46%","","","",""
"tenis masculino","Male sneakers","N","23,765.00","较前30日","6.28%","57,118.00","较前30日","15.66%","12.98%","较前30日","-0.58%","0.11%","较前30日","-21.43%","1.18","较前30日","-3.13%","","","",""
"ebike accessories","ebike accessories","N","8,690.00","较前30日","13.74%","57,079.00","较前30日","6.86%","18.67%","较前30日","-0.95%","0.14%","较前30日","-12.44%","42.15","较前30日","-26.32%","","","",""
"alo yoga","alo yoga","Y","40,618.00","较前30日","10.69%","56,764.00","","","22.51%","较前30日","-11.72%","0.56","","","","较前30日","-10.41%","","","较前30日","0.00%"
"fishing tools and equipment","fishing tools and equipment","N","14.57%","较前30日","4.74%","0.27%","","","87.27","较前30日","-15.29%","56,414.00","","","6,992.00","较前30日","-3.57%","较前30日","34.38%","",""
"gym equipment","gym equipment","N","18.38%","较前30日","1.88%","54.84","","","0.31%","较前30日","-6.40%","56,313.00","较前30日","47.62%","10,043.00","","","较前30日","41.79%","",""
"capacete ciclismo","Helmet cycling","N","9,932.00","较前30日","15.62%","56,297.00","较前30日","14.43%","35.34%","较前30日","-10.64%","0.37%","较前30日","4.16%","16.07","较前30日","2.78%","","","",""
"accesorios para bicicleta","Bike accessories","N","6,573.00","较前30日","7.21%","56,044.00","较前30日","7.83%","22.49%","较前30日","-2.60%","65.60","较前30日","1.31%","0.21%","","","较前30日","50.00%","",""
"camping zubehör","Camping accessories","N","7,167.00","较前30日","0.00%","55,916.00","较前30日","0.00%","18.55%","较前30日","0.00%","0.43%","较前30日","0.00%","38.39","","","","","较前30日","0.00%"
"telescopio","Telescope","N","14,892.00","较前30日","5.00%","55,780.00","较前30日","-1.02%","31.67%","较前30日","-4.48%","0.21%","较前30日","-0.53%","14.70","较前30日","-4.90%","","","",""
"lunch bag","lunch bag","N","17,113.00","较前30日","10.14%","55,768.00","较前30日","14.60%","23.02%","较前30日","3.72%","0.82%","较前30日","5.21%","3.19","较前30日","6.49%","","","",""
"골프용품 신기한것","golf supplies new","N","16.50%","较前30日","0.73%","0.34%","","","","","","55,597.00","","","9,332.00","","","较前30日","57.80%","较前30日","0.00%"
"angelzubehör","Fishing accessories","N","22.45%","","","57.73","","","0.65%","较前30日","-0.13%","55,453.00","较前30日","51.16%","6,706.00","较前30日","-11.73%","较前30日","37.42%","",""
"juego de mesa","Table game","N","9,660.00","较前30日","-9.79%","55,422.00","较前30日","-13.64%","18.77%","较前30日","-19.21%","0.38%","较前30日","-9.85%","16.17","较前30日","-25.05%","","","",""
"iscas artificiais de pesca","artificial fishing lures","N","9,588.00","较前30日","10.22%","55,367.00","较前30日","7.45%","31.07%","较前30日","-8.41%","0.93%","较前30日","-3.12%","24.36","较前30日","-4.08%","","","",""
"inflatable tent","inflatable tent","N","10,414.00","较前30日","23.42%","55,231.00","较前30日","19.98%","35.27%","较前30日","-7.33%","0.06%","较前30日","20.00%","28.95","较前30日","-11.42%","","","",""
"casa de campaña","Tent","N","35.41%","较前30日","16.67%","0.07%","","","12.10","较前30日","-2.13%","55,192.00","","","10,808.00","较前30日","-21.02%","较前30日","41.54%","",""
"tactical belt","tactical belt","N","11,474.00","较前30日","0.33%","55,138.00","较前30日","4.41%","32.68%","较前30日","-3.74%","1.14%","较前30日","11.76%","19.16","较前30日","3.48%","","","",""
"picnic","picnic","Y","26.15%","较前30日","7.44%","43.65","","","","较前30日","-0.66%","55,122.00","","","8,652.00","","","较前30日","34.20%","",""
"pull up bar","pull up bar","N","13,871.00","较前30日","14.43%","55,107.00","较前30日","4.51%","32.01%","较前30日","-3.31%","0.57%","较前30日","2.14%","22.36","较前30日","23.91%","","","",""
"tirachinas","Slingshot","N","8,537.00","较前30日","2.90%","54,935.00","","","31.24%","较前30日","-3.33%","25.64","较前30日","-7.88%","0.19%","较前30日","-3.97%","较前30日","111.11%","",""
"bicycle light","bicycle light","N","11,287.00","较前30日","0.00%","54,823.00","较前30日","0.00%","26.92%","较前30日","0.00%","1.41%","较前30日","0.00%","37.11","","","","","较前30日","0.00%"
"ski mask","ski mask","N","24.62%","较前30日","4.01%","1.70%","较前30日","9.68%","5.45","较前30日","-7.01%","","","","","","","","","",""
"рюкзак мужской","Men's backpack","Y","54,636.00","较前30日","25.31%","42.23%","较前30日","1.69%","5.83","较前30日","-17.49%","0.35%","","","18,490.00","","","较前30日","31.67%","",""
"padel racket","Padel racket","N","11,612.00","较前30日","4.73%","54,263.00","较前30日","2.25%","34.94%","较前30日","-0.01%","0.55%","较前30日","-9.47%","25.49","较前30日","-16.67%","","","",""
"kukirin g2 master","master green kukirin","N","37.96%","","","0.17%","","","12.03","较前30日","-1.07%","54,255.00","较前30日","-4.13%","18,070.00","较前30日","-10.53%","较前30日","40.67%","",""
"땡처리 캠핑용품","thank you for camping supplies","N","10,211.00","较前30日","0.00%","54,251.00","较前30日","0.00%","33.34%","较前30日","0.00%","0.61%","较前30日","0.00%","20.59","","","","","较前30日","0.00%"
"fishing reel","fishing reel","N","10,112.00","","","54,189.00","较前30日","-0.79%","26.35%","较前30日","-25.58%","0.38%","较前30日","-0.30%","42.61","较前30日","-28.74%","","","较前30日","0.00%"
"палатка надувная","Inflatable tent","N","13,617.00","较前30日","12.58%","54,130.00","较前30日","13.36%","56.75%","较前30日","-7.23%","10.96","","","","较前30日","-1.69%","","","",""
"sexy accessories hot","sexy accessories hot","N","13.86%","较前30日","8.88%","","","","","","","0.70","","","0.08%","","","较前30日","33.33%","",""
"sodastream","sodastream","Y","17,093.00","较前30日","8.73%","53,804.00","较前30日","9.39%","16.36%","较前30日","-7.57%","5.76","较前30日","4.46%","","","","","","",""
"сапборд","Sup board","N","56.58%","较前30日","10.94%","13.14","较前30日","2.31%","0.24%","","","53,551.00","较前30日","700.00%","18,082.00","","","较前30日","31.24%","",""
"cycling accessories","cycling accessories","N","7,949.00","较前30日","0.00%","53,372.00","较前30日","0.00%","20.25%","较前30日","0.00%","0.51%","较前30日","0.00%","75.97","","","","","较前30日","0.00%"
"hunting accessories and equipment","hunting accessories and equipment","N","6,508.00","较前30日","0.00%","53,205.00","较前30日","0.00%","23.20%","较前30日","0.00%","0.31%","较前30日","0.00%","80.91","","","","","较前30日","0.00%"
"arma","Weapon","Y","10.96%","","","5.62","","","","较前30日","-12.74%","53,193.00","","","18,486.00","较前30日","-10.60%","较前30日","61.53%","",""
"번치바","bunch bar","N","22,573.00","较前30日","12.18%","53,139.00","较前30日","21.06%","31.01%","较前30日","-4.41%","1.76","","","0.33%","较前30日","-8.33%","较前30日","65.00%","",""
"선글라스","Sunglasses","N","20.80%","","","3.87","","","0.80%","较前30日","-1.19%","53,119.00","较前30日","45.45%","13,878.00","较前30日","-8.64%","较前30日","32.58%","",""
"chair","chair","Y","17,959.00","较前30日","8.84%","53,115.00","较前30日","10.44%","14.82%","较前30日","-0.61%","0.12%","较前30日","12.19%","5.23","","","","","较前30日","0.00%"
"leatt","leatt","Y","10,774.00","较前30日","16.21%","52,987.00","较前30日","10.86%","21.52%","较前30日","-12.87%","0.24%","较前30日","-9.12%","35.47","较前30日","-22.58%","","","",""
"garrafa termica de água","water thermal bottle","N","14,343.00","","","52,688.00","","","13.61%","较前30日","-19.34%","2.35","较前30日","-9.51%","0.20%","较前30日","-13.49%","较前30日","53.85%","",""
"sling shot","sling shot","N","7,110.00","较前30日","6.29%","52,590.00","较前30日","15.56%","35.13%","较前30日","-3.57%","0.52%","较前30日","-9.07%","62.14","较前30日","-9.02%","","","",""
"rugby","Rugby","Y","12,839.00","较前30日","10.13%","52,478.00","","","12.58%","较前30日","-2.34%","0.07%","","","","较前30日","-7.09%","","","较前30日","0.00%"
"skateboard","skateboard","N","14,558.00","较前30日","4.98%","52,190.00","较前30日","1.73%","17.31%","较前30日","-14.29%","0.12%","较前30日","5.23%","22.11","较前30日","-1.73%","","","",""
"bicicletas accesorios","Bicycle accessories","N","6,535.00","较前30日","21.51%","52,073.00","较前30日","12.99%","24.03%","较前30日","1.37%","0.33%","较前30日","7.09%","51.34","较前30日","17.86%","","","",""
"gravel bike","gravel bike","N","51,960.00","较前30日","27.22%","43.66%","","","0.04%","较前30日","-3.21%","21.54","较前30日","-15.53%","13,268.00","较前30日","-20.00%","较前30日","36.38%","",""
"luces para bicicletas","bicycle lights","N","9,894.00","较前30日","2.04%","51,867.00","较前30日","7.35%","30.02%","较前30日","-2.30%","0.73%","较前30日","-0.81%","23.76","较前30日","-0.58%","","","",""
"ropa deportiva mujer gym","Sportswear woman gym","N","21,328.00","较前30日","12.34%","51,529.00","较前30日","16.51%","20.27%","较前30日","-1.24%","0.10%","较前30日","7.88%","1.01","","","","","较前30日","0.00%"
"molle","molle","Y","6,546.00","较前30日","6.35%","51,447.00","较前30日","1.19%","27.40%","较前30日","-13.58%","0.67%","较前30日","-4.36%","66.68","较前30日","-16.40%","","","",""
"воблер","Wobbler","N","10,866.00","较前30日","18.53%","51,160.00","较前30日","20.33%","53.66%","较前30日","-8.22%","42.33","较前30日","0.92%","3.77%","","","较前30日","31.36%","",""
"vest","vest","Y","18,309.00","较前30日","0.05%","51,109.00","较前30日","7.32%","21.10%","较前30日","-3.53%","0.23%","较前30日","-4.17%","8.86","较前30日","-6.14%","","","",""
"jersey ciclismo hombre","cycling jersey man","N","7,724.00","较前30日","2.59%","51,004.00","较前30日","4.56%","36.07%","较前30日","-5.56%","0.51%","较前30日","1.32%","39.38","较前30日","-0.66%","","","",""
"silla plegable portátil","Portable folding chair","N","12,275.00","较前30日","0.00%","50,985.00","较前30日","0.00%","26.77%","较前30日","0.00%","0.51%","较前30日","0.00%","8.75","","","","","较前30日","0.00%"
"tactical accessories","tactical accessories","N","5,884.00","较前30日","0.00%","50,965.00","较前30日","0.00%","24.20%","较前30日","0.00%","0.47%","较前30日","0.00%","87.24","","","","","较前30日","0.00%"
"elitewheels","elitewheels","Y","17,986.00","较前30日","16.40%","50,880.00","较前30日","20.10%","49.67%","较前30日","-1.04%","9.46","","","","较前30日","-0.43%","","","",""
"electric guitars","electric guitars","N","4,307.00","较前30日","15.22%","50,849.00","较前30日","14.85%","28.91%","较前30日","-2.17%","0.07%","较前30日","16.67%","93.95","较前30日","3.62%","","","",""
"telescope","telescope","N","12,076.00","较前30日","14.90%","50,802.00","较前30日","8.36%","30.97%","较前30日","-13.77%","0.29%","较前30日","7.05%","23.19","较前30日","20.83%","","","",""
"fishing rods|-f-| reels and combos","fishing rods|-f-| reels and combos","N","9,695.00","较前30日","0.00%","50,740.00","较前30日","0.00%","12.39%","较前30日","0.00%","0.08%","较前30日","0.00%","44.73","","","","","较前30日","0.00%"
"scooter eléctrico adulto","adult electric scooter","N","12,869.00","较前30日","2.99%","50,662.00","较前30日","28.19%","30.35%","较前30日","-19.44%","16.16","","","0.05%","较前30日","-11.27%","较前30日","66.67%","",""
"gorras","Caps","N","20,642.00","较前30日","5.36%","50,569.00","较前30日","18.94%","14.22%","较前30日","-27.59%","0.21%","较前30日","0.78%","1.60","较前30日","10.15%","","","",""
"mochila masculino","Men's backpack","N","13,437.00","较前30日","11.92%","50,452.00","较前30日","23.15%","19.53%","较前30日","-20.62%","3.48","","","0.16%","较前30日","-15.66%","较前30日","33.33%","",""
"sillas plegables","Folding chairs","N","12,076.00","较前30日","4.55%","50,375.00","较前30日","11.35%","23.36%","","","8.52","较前30日","5.85%","0.25%","较前30日","5.43%","较前30日","78.57%","",""
"guitarra eléctrica","Electric guitar","N","9,118.00","较前30日","4.29%","50,141.00","","","30.03%","较前30日","-14.30%","29.38","较前30日","-1.22%","","较前30日","-17.77%","","","",""
"occhiali da sole uomo","Men's sunglasses","N","13,721.00","较前30日","0.00%","50,122.00","较前30日","0.00%","21.82%","较前30日","0.00%","0.97%","较前30日","0.00%","3.96","","","","","较前30日","0.00%"
"ryet","ryet","Y","10,667.00","较前30日","25.97%","50,087.00","较前30日","19.59%","43.67%","较前30日","-3.72%","0.36%","较前30日","0.97%","31.55","较前30日","5.88%","","","",""
"futbol","Soccer","Y","11,486.00","较前30日","3.14%","50,029.00","较前30日","4.50%","9.84%","较前30日","-12.52%","17.74","","","","较前30日","-11.77%","","","",""
"caza","caza","Y","5,545.00","较前30日","17.65%","49,854.00","较前30日","-15.38%","16.46%","较前30日","-23.08%","0.11%","较前30日","-6.80%","63.46","较前30日","-21.28%","","","",""
"bike parts","bike parts","Y","22.64%","较前30日","1.52%","63.76","","","0.30%","较前30日","-10.30%","49,776.00","较前30日","50.00%","7,045.00","","","较前30日","43.57%","",""
"camping tent","camping tent","Y","49,609.00","较前30日","24.19%","31.66%","","","0.04%","较前30日","-5.10%","39.52","较前30日","-19.15%","7,461.00","较前30日","-20.00%","较前30日","30.35%","",""
"ar15","ar15","N","5,952.00","较前30日","3.15%","49,605.00","","","19.62%","较前30日","-3.58%","66.48","较前30日","-4.28%","0.33%","较前30日","-6.57%","较前30日","135.71%","",""
"gym equipment home","gym equipment home","N","8,315.00","较前30日","0.00%","49,601.00","较前30日","0.00%","19.75%","较前30日","0.00%","0.30%","较前30日","0.00%","57.09","","","","","较前30日","0.00%"
"loki","loki","Y","12,199.00","较前30日","10.04%","49,558.00","较前30日","19.31%","25.53%","较前30日","-11.59%","21.29","","","0.44%","较前30日","-9.48%","较前30日","109.52%","",""
"treadmill","treadmill","N","12,750.00","","","49,496.00","较前30日","-5.61%","35.16%","较前30日","-1.28%","0.40%","较前30日","-1.82%","18.71","较前30日","-4.84%","","","较前30日","0.00%"
"casco","casco","Y","15,648.00","较前30日","1.07%","49,496.00","较前30日","1.80%","25.27%","较前30日","-1.44%","0.30%","较前30日","-1.88%","7.18","较前30日","-6.25%","","","",""
"ktm","ktm","Y","16,597.00","较前30日","2.57%","49,426.00","较前30日","2.07%","15.26%","较前30日","-7.19%","0.30%","","","1.90","较前30日","-3.23%","较前30日","34.42%","",""
"caixa de ferramentas","Toolbox","N","12,846.00","较前30日","27.67%","15.69%","较前30日","5.80%","3.33","较前30日","-4.29%","0.09%","","","49,341.00","","","较前30日","31.91%","",""
"gorras hombre","Men's caps","N","17,993.00","较前30日","7.59%","49,318.00","较前30日","10.40%","14.59%","较前30日","-18.18%","0.27%","较前30日","3.70%","2.23","较前30日","-0.55%","","","",""
"lunette de soleil homme","Sunglass men","N","19.62%","","","1.58","","","1.33%","较前30日","-0.61%","49,166.00","较前30日","43.01%","19,086.00","较前30日","-27.86%","较前30日","56.46%","",""
"gafas","Glasses","N","17,697.00","较前30日","6.13%","49,147.00","较前30日","-24.32%","19.79%","较前30日","-9.42%","0.56%","较前30日","-1.35%","4.22","较前30日","-13.84%","","","",""
"poker","Poker","Y","13,460.00","较前30日","2.81%","49,139.00","较前30日","8.38%","23.76%","较前30日","-17.35%","0.24%","较前30日","-7.69%","11.81","较前30日","-13.84%","","","",""
"hockey","hockey","Y","8,163.00","较前30日","13.44%","49,018.00","","","20.00%","较前30日","-1.47%","45.99","较前30日","-2.82%","0.46%","较前30日","-4.43%","较前30日","58.62%","",""
"titanium","titanium","Y","23.62%","较前30日","7.36%","0.20%","","","29.46","较前30日","-20.00%","48,995.00","","","8,377.00","较前30日","-6.73%","较前30日","34.72%","",""
"рибалка","fishing","N","5,431.00","较前30日","0.00%","48,972.00","较前30日","0.00%","14.40%","较前30日","0.00%","0.31%","较前30日","0.00%","59.18","","","","","较前30日","0.00%"
"lampka rowerowa","Bicycle lamp","N","9,332.00","较前30日","0.00%","48,968.00","较前30日","0.00%","23.82%","较前30日","0.00%","1.27%","较前30日","0.00%","11.63","","","","","较前30日","0.00%"
"guitar strap","guitar strap","N","7,999.00","较前30日","6.94%","48,754.00","较前30日","-8.98%","29.91%","较前30日","-8.55%","1.40%","较前30日","-6.04%","47.11","较前30日","-16.76%","","","",""
"силиконовые приманки","Silicone bait","N","10,047.00","较前30日","21.66%","48,711.00","较前30日","22.94%","64.39%","较前30日","-19.90%","29.57","较前30日","2.29%","2.25%","","","较前30日","30.81%","",""
"mesinha de bike","Bike stem","N","13,073.00","较前30日","10.13%","48,688.00","较前30日","3.38%","38.61%","较前30日","-3.53%","1.04%","较前30日","-19.38%","5.50","较前30日","-4.82%","","","",""
"для рыбалки","For fishing","N","9,217.00","较前30日","16.29%","48,638.00","较前30日","22.61%","46.20%","较前30日","-3.15%","45.66","较前30日","14.87%","1.61%","","","较前30日","36.44%","",""
"футболка y2k","Y2k t-shirt","N","42,034.00","较前30日","21.08%","48,630.00","较前30日","22.91%","59.91%","","","0.04","较前30日","4.43%","0.18%","较前30日","13.48%","较前30日","100.00%","",""
"pokemon cards","pokemon cards","N","32,776.00","较前30日","0.00%","48,540.00","较前30日","0.00%","35.95%","较前30日","0.00%","2.29%","较前30日","0.00%","0.44","","","","","较前30日","0.00%"
"soccer","soccer","Y","11,023.00","较前30日","4.71%","48,366.00","较前30日","23.08%","12.46%","较前30日","-12.79%","0.16%","较前30日","-16.73%","24.17","较前30日","-16.76%","","","",""
"палатка туристическая","Camping tent travel","N","13,920.00","较前30日","1.65%","48,362.00","较前30日","4.39%","59.16%","较前30日","-2.44%","0.06%","","","18.06","较前30日","-0.41%","","","较前30日","0.00%"
"trottinette electrique","Electric scooter","N","11,011.00","较前30日","6.68%","48,284.00","较前30日","6.32%","40.22%","较前30日","-16.06%","14.82","较前30日","4.52%","0.36%","","","较前30日","89.47%","",""
"kastking","kastking","Y","11,160.00","较前30日","7.05%","48,098.00","较前30日","4.56%","34.18%","较前30日","-5.14%","24.76","较前30日","0.47%","0.34%","","","较前30日","61.90%","",""
"patinetes eléctricos adulto","adult electric skateboards","N","10,005.00","较前30日","0.00%","48,008.00","较前30日","0.00%","36.37%","较前30日","0.00%","0.16%","较前30日","0.00%","17.22","","","","","较前30日","0.00%"
"defensa personal","Self defense","N","8,590.00","较前30日","2.54%","48,004.00","较前30日","6.63%","19.11%","较前30日","-3.50%","7.73","较前30日","8.21%","0.10%","","","较前30日","150.00%","",""
"bikepacking","bikepacking","N","6,257.00","较前30日","19.29%","47,965.00","较前30日","23.67%","31.81%","","","67.05","较前30日","0.79%","0.38%","较前30日","0.93%","较前30日","46.15%","",""
"fahrrad","bicycle","N","13,472.00","较前30日","0.00%","47,938.00","较前30日","0.00%","22.55%","较前30日","0.00%","0.06%","较前30日","0.00%","11.41","","","","","较前30日","0.00%"
"bicicletas","Bicycles","Y","12,153.00","较前30日","14.63%","47,899.00","","","30.85%","较前30日","-10.42%","0.01%","较前30日","-0.13%","25.96","较前30日","-7.03%","","","较前30日","0.00%"
"chaquetas de mujer","Women's jackets","N","17,101.00","较前30日","6.13%","47,884.00","较前30日","9.73%","18.78%","较前30日","-1.00%","0.14%","较前30日","7.69%","2.01","较前30日","-1.35%","","","",""
"tienda de campaña","Camping tent","N","9,248.00","较前30日","12.04%","47,884.00","较前30日","11.31%","33.15%","较前30日","-11.24%","18.39","较前30日","0.67%","0.10%","","","较前30日","66.67%","",""
"guantes mtb","Mtb gloves","N","8,942.00","较前30日","4.79%","47,717.00","较前30日","4.31%","32.09%","较前30日","-3.89%","1.09%","较前30日","2.80%","23.38","较前30日","-6.84%","","","",""
"home gym","home gym","Y","8,468.00","较前30日","1.44%","47,647.00","","","19.75%","较前30日","-12.90%","50.78","较前30日","-1.69%","0.22%","较前30日","-17.88%","较前30日","46.67%","",""
"bike elétrica","Electric bike","N","11,302.00","较前30日","0.00%","47,628.00","较前30日","0.00%","25.29%","较前30日","0.00%","0.03%","较前30日","0.00%","8.87","","","","","较前30日","0.00%"
"scooters","scooters","N","12,267.00","较前30日","0.00%","47,620.00","较前30日","0.00%","22.43%","较前30日","0.00%","0.07%","较前30日","0.00%","28.00","","","","","较前30日","0.00%"
"pool","pool","Y","13,729.00","较前30日","24.08%","12.52%","","","3.24","较前30日","-20.66%","0.02%","","","47,511.00","较前30日","-6.62%","较前30日","32.10%","",""
"dnd dice","dnd dice","N","5,914.00","较前30日","5.32%","47,488.00","较前30日","-5.13%","38.64%","较前30日","-19.74%","1.11%","较前30日","-0.28%","66.95","较前30日","-16.47%","","","",""
"jacket","jacket","Y","21,378.00","较前30日","-5.03%","47,414.00","较前30日","-23.08%","20.28%","较前30日","-11.39%","0.10%","较前30日","-4.20%","1.99","较前30日","-13.40%","","","",""
"자전거 가방","Bicycle bag","N","8,220.00","较前30日","0.00%","47,363.00","较前30日","0.00%","24.51%","较前30日","0.00%","0.46%","较前30日","0.00%","18.40","","","","","较前30日","0.00%"
"running accessories","running accessories","N","8,102.00","较前30日","1.81%","47,142.00","较前30日","5.10%","20.41%","较前30日","-0.42%","0.64%","较前30日","14.78%","19.85","较前30日","-11.11%","","","",""
"freio hidráulico","Hydraulic brake","N","12,490.00","较前30日","6.47%","47,053.00","较前30日","8.12%","35.00%","较前30日","-0.31%","6.90","较前30日","2.14%","0.09%","","","较前30日","50.00%","",""
"igt","igt","Y","6,611.00","较前30日","26.33%","46,987.00","较前30日","26.75%","32.28%","较前30日","-20.83%","0.19%","较前30日","2.12%","26.37","较前30日","-11.75%","","","",""
"monopattino elettrico adulti","Electric scooter adult","N","10,808.00","较前30日","0.00%","46,979.00","较前30日","0.00%","40.18%","较前30日","0.00%","0.24%","较前30日","0.00%","10.77","","","","","较前30日","0.00%"
"road bike","road bike","N","9,905.00","较前30日","22.19%","46,963.00","较前30日","13.84%","37.43%","较前30日","-3.03%","0.01%","","","32.84","较前30日","-11.28%","","","较前30日","0.00%"
"vara de pesca","Fishing rod","N","10,517.00","较前30日","11.42%","46,761.00","较前30日","13.83%","29.56%","较前30日","-0.84%","0.32%","较前30日","11.23%","12.89","较前30日","-5.88%","","","",""
"survival equipment","survival equipment","N","5,594.00","较前30日","7.12%","46,532.00","较前30日","-15.56%","23.97%","较前30日","-3.40%","0.20%","较前30日","-16.67%","45.32","较前30日","-4.46%","","","",""
"모자","Hat","N","15,264.00","较前30日","8.04%","46,501.00","较前30日","26.19%","11.61%","","","1.80","较前30日","4.59%","0.55%","较前30日","10.61%","较前30日","96.43%","",""
"골프공","Golf Ball","N","9,099.00","较前30日","0.00%","46,260.00","较前30日","0.00%","29.89%","较前30日","0.00%","1.36%","较前30日","0.00%","8.94","","","","","较前30日","0.00%"
"camping equipamiento","camping equipment","N","6,828.00","","","46,253.00","较前30日","-0.24%","23.69%","较前30日","-13.27%","40.34","较前30日","-3.97%","0.21%","较前30日","-22.53%","较前30日","61.54%","",""
"sonnenbrillen herren","sunglasses men","N","12,620.00","较前30日","0.00%","46,109.00","较前30日","0.00%","23.53%","较前30日","0.00%","1.90%","较前30日","0.00%","4.19","","","","","较前30日","0.00%"
"casco mtb","Mtb helmet","N","8,545.00","较前30日","24.73%","46,082.00","较前30日","20.49%","38.37%","较前30日","-14.31%","0.41%","较前30日","4.07%","24.79","较前30日","28.13%","","","",""
"arirang","arirang","Y","13,828.00","较前30日","26.96%","17.56%","","","","较前30日","-17.09%","1.89","","","46,027.00","","","较前30日","66.75%","",""
"e bikes","e bikes","N","9,271.00","较前30日","0.00%","45,833.00","较前30日","0.00%","29.77%","较前30日","0.00%","0.05%","较前30日","0.00%","24.98","","","","","较前30日","0.00%"
"mirror","mirror","Y","24,637.00","较前30日","-1.18%","45,732.00","较前30日","-15.38%","9.95%","较前30日","-2.23%","0.22%","较前30日","-3.96%","1.64","较前30日","-4.26%","","","",""
"survie","Survival","N","5,066.00","较前30日","0.00%","45,651.00","较前30日","0.00%","26.01%","较前30日","0.00%","0.48%","较前30日","0.00%","37.45","","","","","较前30日","0.00%"
"camping equipment clearance","camping equipment clearance","N","5,271.00","较前30日","0.00%","45,589.00","较前30日","0.00%","22.27%","较前30日","0.00%","0.25%","较前30日","0.00%","65.27","","","","","较前30日","0.00%"
"shorts para hombre","mens shorts","N","17,478.00","较前30日","25.52%","21.41%","较前30日","7.91%","0.46%","较前30日","-2.29%","2.00","较前30日","17.95%","45,534.00","","","较前30日","36.03%","",""
"jaqueta masculina","Men's jacket","N","12,294.00","较前30日","17.06%","45,503.00","较前30日","22.58%","21.85%","较前30日","-7.96%","2.14","较前30日","5.10%","","","","","","",""
"guyker","guyker","Y","6,040.00","较前30日","4.31%","45,495.00","较前30日","0.01%","34.82%","较前30日","-0.43%","70.71","","","0.35%","较前30日","-1.06%","较前30日","34.62%","",""
"fly fishing","fly fishing","N","5,640.00","较前30日","19.19%","45,461.00","较前30日","23.19%","25.18%","较前30日","-0.54%","0.63%","较前30日","3.07%","85.91","较前30日","8.62%","","","",""
